Unnamed: 0.1,Unnamed: 0,country,policy,measures,start_year,status,budget_commitment,title_norm,matched_title,match_score,description,iso3
1075,1075,Portugal,Investment for the installation of PV panels in agriculturePart ofRecovery and resilience plan,Utility-scale PV,2021,In force,12,investment for the installation of pv panels in agriculturepart ofrecovery and resilience plan,Investment for the installation of PV panels in agriculture,88.67924528,"<div>In the framework of the Small Investments in Agricultural Exploration programme, the Portuguese Ministry of Agriculture announced the opening of application process for the installation of PV panels in agricultural holdings.</div>

<div> </div>

<div>The Ministry of Agriculture will allocate EUR 10 million to this initiative.</div>",PRT
1076,1076,Austria,Public funding for innovative photovoltaic projects,Utility-scale PV,2021,In force,12,public funding for innovative photovoltaic projects,,56.41025641,,
1077,1077,Saint Lucia,2022 Gasoline subsidy & tax suspension,MultipleShow budget lines,2022,In force,12,2022 gasoline subsidy tax suspension,2022 Gasoline subsidy & tax suspension,100,"<div>In answer to the global energy crisis, the government of Saint Lucia raised its subsidies for LPG cylinders from mid-March 2022.<br><br>The excise tax on gasoline was temporarily scrapped in March, then reinstated at a low level, where it is planned to remain for the rest of the fiscal year 2022/2023.</div>",LCA
1078,1078,Australia,Winter Energy Assistance Package 2022-23,Energy affordability,2022,In force,12,winter energy assistance package 202223,Winter Energy Assistance Package 2022-23,100,"<div>A total increase in electricity concessions of AUD 180 for eligible concession customers. This is made up of:<br><br></div><ul><li>an increase in the ongoing annual electricity concession by $61 per customer;</li><li>a once-off $119 Winter Bill Buster discount for electricity consumed in winter 2022, which will be applied to bills for eligible electricity concession account holders on their first bill after 1 August 2022.</li></ul>",AUS
1079,1079,Denmark,Funds for green transition of transport,MultipleShow budget lines,2020,In force,11,funds for green transition of transport,Funds for green transition of transport,100,"<div>In April 2020, the Danish government set up funds in order to promote green transport and decarbonise this sector. </div><div> </div><div>Investments includes: </div><div> </div><div>- DKK 50 million for co-financing publicly accessible charging infrastructure for electric vehicles</div><div> </div><div>- DKK 25 million for co-financing renewable refueling stations for heavy duty vehicles and green transition to zero- and low emissions heavy duty vehicles</div>",DNK
1080,1080,Estonia,EUR 9.6 million in subsidies for renewable energy storage,Thermal storage,2022,In force,11,eur 96 million in subsidies for renewable energy storage,EUR 9.6 million in subsidies for renewable energy storage,100,<div>Estonian Ministry of Economy will provide EUR 9.6 million to companies producing energy from renewable sources to invest in heat and electricity storage. Beneficiaries can draw up to one million euros with the maximum subsidy amount of EUR 360 000/MWh of electricity storage and EUR 220 000/1000 cubic meters of thermal storage. The subsidies are distributed by the Center for Environmental Investments (KIK) and applications opened in December 2022.</div>,EST
1081,1081,Sweden,Budget 2021 - charging infrastructure for heavy vehicles,Charging infrastructureShow budget lines,2021,In force,11,budget 2021 charging infrastructure for heavy vehicles,Budget 2021 - charging infrastructure for heavy vehicles,100,"<div>Proposed funding for charging infrastructure for heavy vehicles, with SEK 50 million  allocated for 2021 and SEK 55 million for 2022.</div>",SWE
1082,1082,Australia,Australian government support for solar hydro power plant in MilduraPart ofAdvancing Renewables Programme,Utility-scale PV,2021,In force,11,australian government support for solar hydro power plant in mildurapart ofadvancing renewables programme,Australian government support for solar hydro power plant in Mildura,93.75,"<div>The Australian government, through the Australian Renewable Energy Agency (ARENA) and its Advancing Renewables Program, is providing AUD 15 million to a concentrated solar project with thermal hydro storage. </div><div> </div><div>The flagship project has a 4 MW solar capacity and 3 MW / 50 MWh storage capacity. The manufacturing facility will also be expanded to allow for future project deployment. </div>",AUS
1083,1083,Denmark,Power-to-X (PtX) Tender Pool,HydrogenShow budget lines,2024,In force,11,powertox ptx tender pool,Power-to-X tender,100,"<div>In March 2022, the Danish government set a goal to install a total of  4-6 GW of electrolysis capacity by 2030 for green hydrogen production through Power-to-X strategy. To reach this goal, a tender of DKK 1.25 billion was launched. The tender is now open from the 19th of April 2023 under the responsibility of the Danish Energy Agency and it is expected to be concluded by the end of 2023. The subsidy is granted over 10 years and it is paid per produced amount of green hydrogen.</div>",DNK
1084,1084,United Kingdom,Funding to regions to reduce industry emissions,Industry EE,2021,In force,11,funding to regions to reduce industry emissions,Funding to regions to reduce industry emissions,100,"<div>Projects in West Midlands, Tees Valley, North West, Humber, Scotland and South Wales won GBP 8 million share in government backing to develop ways to cut carbon emissions from major industrial areas. </div><div> </div><div>The new funding is the latest phase of the government’s GBP 170 million Industrial Decarbonisation Challenge, which has the potential to create 10 000 green jobs. The UK aims to create 4 low-carbon industrial hubs by 2030 and at least one net zero emission cluster by 2040. </div>",GBR
1085,1085,Malaysia,Solar PVs on Government Facilities,Residential/commercial PV,2023,Ended,11,solar pvs on government facilities,Solar PVs on Government Facilities,100,<div>The Malaysian government is financing the installation of solar panels on government buildings by end 2023.</div>,MYS
1086,1086,Slovak Republic,Government support for solar photovoltaic manufacturing,Utility-scale PV,2023,In force,11,government support for solar photovoltaic manufacturing,,58.53658537,,
1087,1087,Sweden,Budget 2021 - Vehicle Strategic Research and Innovation (FFI) program,Industry EEShow budget lines,2021,In force,11,budget 2021 vehicle strategic research and innovation ffi program,Budget 2021 - Vehicle Strategic Research and Innovation (FFI) program,100,"<div>The government announced that the Vehicle Strategic Research and Innovation (FFI) program will continue as a contractually regulated program for collaboration between the automotive industry and the state.  In addition, the Government, through the Budget Bill for 2021, is strengthening the program through a special investment in fossil-free work machines.      </div><div>In the budget bill for 2021, FFI will be strengthened by SEK 50 million in 2021, and the government estimates SEK 50 million will need to be added to FFI in 2022.</div><div>The funds will go to research and development to develop fossil-free work machines and a competitive automotive industry. </div>",SWE
